Thu 16 May 2024 11:26:17 AM BST
Wrote profile results to run.py.prof
         3279994 function calls (3269910 primitive calls) in 1.426 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7313    0.004    0.000    0.047    0.000 <__array_function__ internals>:177(all)
        7    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(any)
       16    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(around)
     1850    0.001    0.000    0.006    0.000 <__array_function__ internals>:177(atleast_1d)
     3654    0.002    0.000    0.041    0.000 <__array_function__ internals>:177(broadcast_arrays)
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(concatenate)
        9    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(copyto)
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(ndim)
       16    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(pad)
       21    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(place)
       16    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(round_)
        7    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(shape)
       12    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(size)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(tile)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(trim_zeros)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(where)
        1    0.000    0.000    0.000    0.000 <decorator-gen-0>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-10>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-2>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-3>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-4>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-5>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-6>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(<module>)
        3    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(_held_figure)
        1    0.000    0.000    0.000    0.000 <decorator-gen-8>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-9>:1(<module>)
       16    0.000    0.000    0.038    0.002 <frozen importlib._bootstrap>:1002(_gcd_import)
   837/17    0.001    0.000    0.359    0.021 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     1538    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
      752    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      752    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:147(__enter__)
      752    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
     1538    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      734    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      786    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
   1108/5    0.000    0.000    0.371    0.074 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     6162    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      728    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
      577    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
     1265    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:376(cached)
     1792    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:389(parent)
      706    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:397(has_location)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
      706    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
  706/702    0.001    0.000    0.038    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      734    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
    706/4    0.002    0.000    0.371    0.093 <frozen importlib._bootstrap>:650(_load_unlocked)
      727    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:746(create_module)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:754(exec_module)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(is_package)
     1538    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
      709    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
     2155    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:863(__enter__)
     2155    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:867(__exit__)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:881(_find_spec_legacy)
      727    0.003    0.000    0.035    0.000 <frozen importlib._bootstrap>:890(_find_spec)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:937(_sanity_check)
    738/4    0.002    0.000    0.371    0.093 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    752/4    0.002    0.000    0.372    0.093 <frozen importlib._bootstrap>:986(_find_and_load)
      578    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1004(__init__)
      577    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(get_filename)
      580    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
      577    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1075(path_stats)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1080(_cache_bytecode)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1085(set_data)
      111    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(__init__)
      111    0.000    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1164(create_module)
   111/81    0.000    0.000    0.056    0.001 <frozen importlib._bootstrap_external>:1172(exec_module)
     5552    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
     5552    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
     1157    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
     2314    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
       63    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1317(_path_hooks)
     1245    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
     2661    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      710    0.002    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
      710    0.001    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
      947    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
       63    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1459(__init__)
      504    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1465(<genexpr>)
      689    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
     1071    0.007    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
      881    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
       63    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1549(_fill_cache)
       66    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
       63    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1590(path_hook_for_FileFinder)
      752    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_write_atomic)
     1154    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
      688    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:496(_calc_mode)
      577    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
      577    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
      577    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
      574    0.001    0.000    0.045    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:651(_code_to_timestamp_pyc)
     1071    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
      689    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:74(_pack_uint32)
     1728    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
